省份,年份,招生代码,大学名称,专业代码,专业名称,科类,批次,最低分,平均分,最高分,最低位次,录取人数
福建,2018,5094,华东交通大学,24,计算机类(含计算机科学与技术、物联网工程),理科,本二批,490,491,492,34535,3
福建,2018,5094,华东交通大学,25,建筑环境与能源应用工程,理科,本二批,489,489,489,34925,1
福建,2018,5094,华东交通大学,26,建筑电气与智能化,理科,本二批,490,491,491,34535,2
福建,2018,5094,华东交通大学,27,铁道工程,理科,本二批,507,513,518,28388,2
福建,2018,5094,华东交通大学,28,环境工程,理科,本二批,489,489,489,34925,1
福建,2018,5094,华东交通大学,29,建筑学,理科,本二批,498,500,501,31502,2
福建,2018,5094,华东交通大学,30,管理科学与工程类(中外合作办学，含工程管理),理科,本二批,469,478,487,42861,2
福建,2018,5094,华东交通大学,31,会计学,理科,本二批,495,507,518,32626,2
福建,2018,5094,华东交通大学,32,人力资源管理,理科,本二批,487,488,489,35713,2
福建,2018,5094,华东交通大学,33,公共事业管理,理科,本二批,486,486,486,36124,1
福建,2018,5094,华东交通大学,34,物流管理,理科,本二批,487,488,491,35713,3
福建,2018,5094,华东交通大学,35,物流工程,理科,本二批,487,487,487,35713,2
福建,2018,5094,华东交通大学,36,铁道机车,理科,高职专科,373,390,415,85213,12
福建,2018,5094,华东交通大学,37,铁道车辆,理科,高职专科,367,379,407,87818,8
福建,2018,5094,华东交通大学,38,铁道工程技术,理科,高职专科,377,392,418,83431,7
福建,2018,5094,华东交通大学,39,道路桥梁工程技术,理科,高职专科,393,404,421,76106,3
福建,2018,5094,华东交通大学,01,金融学,文科,本二批,550,551,552,7565,2
福建,2018,5094,华东交通大学,02,国际经济与贸易,文科,本二批,548,548,548,7895,1
福建,2018,5094,华东交通大学,03,法学,文科,本二批,549,549,549,7718,2
福建,2018,5094,华东交通大学,04,汉语言文学,文科,本二批,549,549,549,7718,1
福建,2018,5094,华东交通大学,05,英语,文科,本二批,548,549,549,7895,2
福建,2018,5094,华东交通大学,06,翻译(英语),文科,本二批,548,548,548,7895,2
福建,2018,5094,华东交通大学,07,市场营销,文科,本二批,548,548,548,7895,1
福建,2018,5094,华东交通大学,08,会计学,文科,本二批,549,550,550,7718,2
福建,2018,5094,华东交通大学,09,人力资源管理,文科,本二批,548,548,548,7895,2
福建,2018,5094,华东交通大学,10,公共事业管理,文科,本二批,548,548,548,7895,1
福建,2018,6348,江西农业大学,01,法学,文科,本二批,534,534,534,10135,1
福建,2018,6348,江西农业大学,02,英语,文科,本二批,534,534,534,10135,1
福建,2018,6348,江西农业大学,03,商务英语,文科,本二批,535,535,535,9981,1
福建,2018,6348,江西农业大学,04,公共事业管理,文科,本二批,533,533,533,10303,1
福建,2018,6348,江西农业大学,05,土地资源管理,文科,本二批,532,532,532,10479,2
福建,2018,6348,江西农业大学,07,旅游管理,文科,本二批,533,533,533,10303,1
福建,2018,6348,江西农业大学,01,经济学,理科,本二批,489,489,489,34925,1
福建,2018,6348,江西农业大学,02,金融学,理科,本二批,478,478,478,39294,1
福建,2018,6348,江西农业大学,03,教育技术学,理科,本二批,461,461,461,46069,2
福建,2018,6348,江西农业大学,04,信息与计算科学,理科,本二批,468,468,468,43250,1
福建,2018,6348,江西农业大学,05,应用化学,理科,本二批,468,470,471,43250,2
福建,2018,6348,江西农业大学,06,地理信息科学,理科,本二批,465,469,473,44431,2
福建,2018,6348,江西农业大学,07,生物科学,理科,本二批,464,467,470,44862,2
福建,2018,6348,江西农业大学,08,生物技术,理科,本二批,462,462,462,45652,1
福建,2018,6348,江西农业大学,09,机械设计制造及其自动化,理科,本二批,481,481,481,38049,1
福建,2018,6348,江西农业大学,10,车辆工程,理科,本二批,472,472,472,41661,1
福建,2018,6348,江西农业大学,11,电子信息工程,理科,本二批,472,474,476,41661,2
福建,2018,6348,江西农业大学,12,计算机科学与技术,理科,本二批,478,478,478,39294,1
福建,2018,6348,江西农业大学,13,软件工程(英语方向),理科,本二批,478,478,478,39294,1
福建,2018,6348,江西农业大学,14,软件工程,理科,本二批,480,480,480,38482,1
福建,2018,6348,江西农业大学,15,物联网工程,理科,本二批,476,476,476,40084,1
福建,2018,6348,江西农业大学,16,农业机械化及其自动化,理科,本二批,468,469,470,43250,2
福建,2018,6348,江西农业大学,17,农业水利工程,理科,本二批,467,467,467,43640,1
福建,2018,6348,江西农业大学,18,林产化工,理科,本二批,459,462,464,46865,2
福建,2018,6348,江西农业大学,19,环境工程,理科,本二批,465,472,478,44431,2
福建,2018,6348,江西农业大学,20,食品科学与工程,理科,本二批,465,470,473,44431,3
福建,2018,6348,江西农业大学,21,食品质量与安全,理科,本二批,467,467,467,43640,1
福建,2018,6348,江西农业大学,22,城乡规划,理科,本二批,464,464,464,44862,1
福建,2018,6348,江西农业大学,23,风景园林,理科,本二批,489,489,489,34925,1
福建,2018,6348,江西农业大学,24,生物工程,理科,本二批,485,485,485,36522,1
福建,2018,6348,江西农业大学,25,农学,理科,本二批,460,462,463,46455,2
福建,2018,6348,江西农业大学,26,园艺,理科,本二批,465,470,473,44431,3
福建,2018,6348,江西农业大学,27,植物保护,理科,本二批,462,464,466,45652,2
福建,2018,6348,江西农业大学,28,种子科学与工程,理科,本二批,463,463,463,45268,1
福建,2018,6348,江西农业大学,29,茶学,理科,本二批,463,463,463,45268,1
福建,2018,6348,江西农业大学,30,农业资源与环境,理科,本二批,460,460,460,46455,2
福建,2018,6348,江西农业大学,31,动物科学,理科,本二批,460,462,463,46455,4
福建,2018,6348,江西农业大学,32,动物医学,理科,本二批,461,468,474,46069,4
福建,2018,6348,江西农业大学,33,动物药学,理科,本二批,462,462,462,45652,1
福建,2018,6348,江西农业大学,34,动植物检疫,理科,本二批,460,462,464,46455,3
福建,2018,6348,江西农业大学,35,林学,理科,本二批,460,466,469,46455,3
福建,2018,6348,江西农业大学,36,园林,理科,本二批,473,473,473,41272,1
福建,2018,6348,江西农业大学,37,水产养殖学,理科,本二批,460,460,461,46455,3
福建,2018,6348,江西农业大学,38,会计学,理科,本二批,479,479,479,38880,1
福建,2018,6348,江西农业大学,39,土地资源管理,理科,本二批,470,470,470,42466,1
福建,2018,6348,江西农业大学,40,旅游管理(茶文化与休闲旅游),理科,本二批,461,461,461,46069,1
福建,2018,6433,内蒙古师范大学,01,旅游管理,文科,本二批,486,490,499,19833,5
福建,2018,5259,中南林业科技大学,01,金融学,理科,本一批,525,526,527,22231,3
福建,2018,5259,中南林业科技大学,02,保险学,理科,本一批,517,518,518,24944,2
福建,2018,5259,中南林业科技大学,03,国际经济与贸易,理科,本一批,524,525,526,22606,2
福建,2018,5259,中南林业科技大学,04,英语,理科,本一批,518,524,530,24607,2
福建,2018,5259,中南林业科技大学,05,翻译,理科,本一批,524,526,527,22606,2
福建,2018,5259,中南林业科技大学,06,信息与计算科学,理科,本一批,522,525,527,23276,2
福建,2018,5259,中南林业科技大学,07,应用物理学,理科,本一批,514,515,516,25917,2
福建,2018,5259,中南林业科技大学,08,地理信息科学,理科,本一批,513,516,520,26253,3
福建,2018,5259,中南林业科技大学,09,生物技术,理科,本一批,515,516,516,25577,2
福建,2018,5259,中南林业科技大学,10,生态学,理科,本一批,515,518,521,25577,2
福建,2018,5259,中南林业科技大学,11,机械设计制造及其自动化,理科,本一批,517,517,518,24944,4
福建,2018,5259,中南林业科技大学,12,材料成型及控制工程,理科,本一批,514,514,515,25917,3
福建,2018,5259,中南林业科技大学,13,工业设计,理科,本一批,525,527,529,22231,3
福建,2018,5259,中南林业科技大学,14,汽车服务工程,理科,本一批,513,514,514,26253,2
福建,2018,5259,中南林业科技大学,15,材料类(含:材料科学与工程、材料化学、高分子材料与工程),理科,本一批,511,517,522,26911,4
福建,2018,5259,中南林业科技大学,16,能源与动力工程,理科,本一批,520,521,521,23927,2
福建,2018,5259,中南林业科技大学,17,电子信息工程,理科,本一批,525,528,531,22231,2
福建,2018,5259,中南林业科技大学,18,电子科学与技术,理科,本一批,521,521,521,23618,2
福建,2018,5259,中南林业科技大学,19,自动化,理科,本一批,522,525,527,23276,2
福建,2018,5259,中南林业科技大学,20,计算机科学与技术,理科,本一批,525,525,526,22231,3
福建,2018,5259,中南林业科技大学,21,软件工程,理科,本一批,525,526,527,22231,3
福建,2018,5259,中南林业科技大学,22,土木工程,理科,本一批,515,518,522,25577,5
福建,2018,5259,中南林业科技大学,23,城市地下空间工程,理科,本一批,513,514,515,26253,2
福建,2018,5259,中南林业科技大学,24,化学工程与工艺,理科,本一批,504,509,513,29382,3
福建,2018,5259,中南林业科技大学,25,交通运输,理科,本一批,514,515,515,25917,2
福建,2018,5259,中南林业科技大学,26,木材科学与工程,理科,本一批,514,517,521,25917,5
福建,2018,5259,中南林业科技大学,27,环境科学与工程类(含:环境工程、环境科学、环境生态工程),理科,本一批,514,515,515,25917,4
福建,2018,5259,中南林业科技大学,28,食品科学与工程类(含:食品科学与工程、食品质量与安全、粮食工程),理科,本一批,516,517,520,25259,4
福建,2018,5259,中南林业科技大学,29,建筑学,理科,本一批,522,523,523,23276,3
福建,2018,5259,中南林业科技大学,30,城乡规划,理科,本一批,515,517,518,25577,2
福建,2018,5259,中南林业科技大学,31,风景园林,理科,本一批,529,530,531,21014,2
福建,2018,5259,中南林业科技大学,32,园艺,理科,本一批,514,515,515,25917,2
福建,2018,5259,中南林业科技大学,33,水土保持与荒漠化防治,理科,本一批,498,504,509,31502,2
福建,2018,5259,中南林业科技大学,34,林学,理科,本一批,514,515,516,25917,3
福建,2018,5259,中南林业科技大学,35,森林保护,理科,本一批,503,510,514,29711,3
福建,2018,5259,中南林业科技大学,36,工程管理,理科,本一批,515,518,520,25577,2
福建,2018,5259,中南林业科技大学,37,市场营销,理科,本一批,521,523,524,23618,2
福建,2018,5259,中南林业科技大学,38,会计学,理科,本一批,525,527,531,22231,3
福建,2018,5259,中南林业科技大学,39,土地资源管理,理科,本一批,514,514,514,25917,2
福建,2018,5259,中南林业科技大学,40,物流管理,理科,本一批,514,515,516,25917,2
福建,2018,5259,中南林业科技大学,41,物流工程,理科,本一批,517,517,517,24944,2
福建,2018,5259,中南林业科技大学,42,旅游管理类(含:旅游管理、酒店管理、会展经济与管理),理科,本一批,517,517,517,24944,2
福建,2018,5259,中南林业科技大学,01,金融学,文科,本一批,567,568,568,5192,2
福建,2018,5259,中南林业科技大学,02,国际经济与贸易,文科,本一批,567,569,571,5192,2
福建,2018,5259,中南林业科技大学,03,法学,文科,本一批,567,570,574,5192,3
福建,2018,5259,中南林业科技大学,04,英语,文科,本一批,566,569,572,5330,2
福建,2018,5259,中南林业科技大学,05,俄语,文科,本一批,565,565,565,5454,2
福建,2018,5259,中南林业科技大学,06,日语,文科,本一批,565,565,566,5454,3
福建,2018,5259,中南林业科技大学,07,翻译,文科,本一批,565,567,568,5454,2
福建,2018,5259,中南林业科技大学,08,市场营销,文科,本一批,565,566,567,5454,2
福建,2018,5259,中南林业科技大学,09,会计学,文科,本一批,570,570,570,4844,2
福建,2018,5259,中南林业科技大学,10,国际商务,文科,本一批,565,566,566,5454,2
福建,2018,5259,中南林业科技大学,11,人力资源管理,文科,本一批,565,566,566,5454,4
福建,2018,5259,中南林业科技大学,12,行政管理,文科,本一批,565,565,565,5454,2
福建,2018,5259,中南林业科技大学,13,物流管理,文科,本一批,564,565,566,5580,2
福建,2018,5259,中南林业科技大学,14,旅游管理类(含:旅游管理、酒店管理、会展经济与管理),文科,本一批,564,565,565,5580,4
福建,2018,6466,山东财经大学,01,经济统计学,理科,本二批,492,498,503,33792,2
福建,2018,6466,山东财经大学,02,财政学,理科,本二批,487,488,488,35713,2
福建,2018,6466,山东财经大学,03,金融学,理科,本二批,509,509,509,27653,1
福建,2018,6466,山东财经大学,04,金融工程,理科,本二批,494,496,498,33036,2
福建,2018,6466,山东财经大学,05,保险学,理科,本二批,488,489,490,35333,2
福建,2018,6466,山东财经大学,06,金融数学,理科,本二批,487,487,487,35713,2
福建,2018,6466,山东财经大学,07,国际经济与贸易,理科,本二批,494,494,494,33036,1
福建,2018,6466,山东财经大学,08,法学,理科,本二批,499,506,513,31128,2
福建,2018,6466,山东财经大学,09,英语,理科,本二批,485,486,486,36522,2
福建,2018,6466,山东财经大学,10,法语,理科,本二批,487,495,503,35713,2
福建,2018,6466,山东财经大学,11,日语,理科,本二批,487,487,487,35713,2
福建,2018,6466,山东财经大学,12,新闻学,理科,本二批,486,487,488,36124,2
福建,2018,6466,山东财经大学,13,数学与应用数学,理科,本二批,485,486,486,36522,2
福建,2018,6466,山东财经大学,14,计算机科学与技术,理科,本二批,491,491,491,34156,1
福建,2018,6466,山东财经大学,15,数字媒体技术,理科,本二批,485,487,489,36522,2
福建,2018,6466,山东财经大学,16,管理科学,理科,本二批,484,484,484,36893,1
福建,2018,6466,山东财经大学,17,信息管理与信息系统,理科,本二批,485,487,489,36522,2
福建,2018,6466,山东财经大学,18,工程管理,理科,本二批,487,487,487,35713,1
福建,2018,6466,山东财经大学,19,工商管理,理科,本二批,492,492,492,33792,1
福建,2018,6466,山东财经大学,20,市场营销,理科,本二批,489,489,489,34925,1
福建,2018,6466,山东财经大学,21,会计学,理科,本二批,517,517,517,24944,1
福建,2018,6466,山东财经大学,22,财务管理,理科,本二批,512,512,512,26588,1
福建,2018,6466,山东财经大学,23,人力资源管理,理科,本二批,493,493,493,33404,1
福建,2018,6466,山东财经大学,24,审计学,理科,本二批,499,499,499,31128,1
福建,2018,6466,山东财经大学,25,资产评估,理科,本二批,488,488,488,35333,1
福建,2018,6466,山东财经大学,26,文化产业管理,理科,本二批,485,485,485,36522,1
福建,2018,6466,山东财经大学,27,体育经济与管理,理科,本二批,484,484,484,36893,1
福建,2018,6466,山东财经大学,28,公共事业管理,理科,本二批,485,485,485,36522,2
福建,2018,6466,山东财经大学,29,劳动与社会保障,理科,本二批,485,485,485,36522,2
福建,2018,6466,山东财经大学,30,物流管理,理科,本二批,485,485,485,36522,2
福建,2018,6466,山东财经大学,31,电子商务,理科,本二批,487,487,487,35713,2
福建,2018,6466,山东财经大学,01,财政学,文科,本二批,554,555,555,6975,2
福建,2018,6466,山东财经大学,02,税收学,文科,本二批,556,556,556,6690,1
福建,2018,6466,山东财经大学,03,金融学,文科,本二批,557,558,558,6540,2
福建,2018,6466,山东财经大学,04,保险学,文科,本二批,548,550,550,7895,4
福建,2018,6466,山东财经大学,05,投资学,文科,本二批,551,551,551,7405,1
福建,2018,6466,山东财经大学,06,国际经济与贸易,文科,本二批,550,551,551,7565,2
福建,2018,6466,山东财经大学,07,法学,文科,本二批,550,554,558,7565,4
福建,2018,6466,山东财经大学,08,汉语言文学,文科,本二批,548,549,549,7895,2
福建,2018,6466,山东财经大学,09,英语,文科,本二批,550,550,550,7565,2
福建,2018,6466,山东财经大学,10,法语,文科,本二批,551,551,551,7405,1
福建,2018,6466,山东财经大学,11,日语,文科,本二批,549,550,550,7718,2
福建,2018,6466,山东财经大学,12,商务英语,文科,本二批,548,549,549,7895,2
福建,2018,6466,山东财经大学,13,新闻学,文科,本二批,548,548,548,7895,1
福建,2018,6466,山东财经大学,14,工商管理,文科,本二批,550,554,557,7565,2
福建,2018,6466,山东财经大学,15,会计学,文科,本二批,563,567,571,5710,2
福建,2018,6466,山东财经大学,16,审计学,文科,本二批,554,555,556,6975,2
福建,2018,6466,山东财经大学,17,文化产业管理,文科,本二批,547,548,549,8066,2
福建,2018,6466,山东财经大学,18,公共事业管理,文科,本二批,548,549,550,7895,2
福建,2018,6466,山东财经大学,19,行政管理,文科,本二批,548,548,548,7895,2
福建,2018,6466,山东财经大学,20,劳动与社会保障,文科,本二批,548,548,548,7895,2
福建,2018,6581,武汉纺织大学,01,材料类(含:高分子材料与工程、复合材料与工程、材料科学与工程、材料化学),理科,本二批,475,475,476,40484,3
福建,2018,6581,武汉纺织大学,02,纺织类(含:纺织工程、非织造材料与工程),理科,本二批,465,470,473,44431,3
福建,2018,6581,武汉纺织大学,03,轻化工程(招考方向:纺织品绿色加工),理科,本二批,469,469,469,42861,1
福建,2018,6581,武汉纺织大学,01,工商管理类(含:工商管理、人力资源管理、市场营销),文科,本二批,545,545,545,8374,2
福建,2018,5064,广州医科大学,01,生物技术,理科,本一批,501,535,553,30438,5
福建,2018,5064,广州医科大学,02,临床医学,理科,本一批,557,569,582,13230,4
福建,2018,5064,广州医科大学,03,药学,理科,本一批,545,549,552,16297,2
福建,2018,5064,广州医科大学,04,护理学,理科,本一批,512,521,534,26588,4
福建,2018,5064,广州医科大学,01,应用心理学,文科,本一批,571,574,577,4716,3
福建,2018,5064,广州医科大学,02,公共事业管理,文科,本一批,568,569,573,5082,5
福建,2018,5120,南昌航空大学,01,测控技术与仪器,理科,本一批,533,542,559,19809,3
福建,2018,5120,南昌航空大学,02,焊接技术与工程,理科,本一批,527,529,530,21643,3
福建,2018,5120,南昌航空大学,03,飞行器设计与工程,理科,本一批,537,537,537,18631,3
福建,2018,5120,南昌航空大学,04,飞行器制造工程(航空维修工程与技术),理科,本一批,535,537,538,19227,2
福建,2018,5120,南昌航空大学,05,飞行器制造工程,理科,本一批,531,531,531,20401,2
福建,2018,5120,南昌航空大学,06,金融数学,理科,本二批,483,483,483,37291,1
福建,2018,5120,南昌航空大学,07,教育技术学(招考方向:游戏软件开发),理科,本二批,488,488,488,35333,1
福建,2018,5120,南昌航空大学,09,应用化学,理科,本二批,484,484,484,36893,1
福建,2018,5120,南昌航空大学,10,机械设计制造及其自动化,理科,本二批,484,485,486,36893,3
福建,2018,5120,南昌航空大学,11,材料成型及控制工程,理科,本二批,484,484,484,36893,2
福建,2018,5120,南昌航空大学,12,机械电子工程,理科,本二批,486,486,486,36124,1
福建,2018,5120,南昌航空大学,13,材料化学,理科,本二批,484,484,484,36893,1
福建,2018,5120,南昌航空大学,14,金属材料工程,理科,本二批,484,486,490,36893,4
福建,2018,5120,南昌航空大学,15,无机非金属材料工程,理科,本二批,483,484,484,37291,2
福建,2018,5120,南昌航空大学,16,高分子材料与工程,理科,本二批,483,484,484,37291,2
福建,2018,5120,南昌航空大学,17,电气工程及其自动化,理科,本二批,488,488,488,35333,1
福建,2018,5120,南昌航空大学,18,电子信息工程,理科,本二批,489,489,489,34925,2
福建,2018,5120,南昌航空大学,19,电子科学与技术,理科,本二批,489,493,497,34925,2
福建,2018,5120,南昌航空大学,20,通信工程,理科,本二批,484,485,485,36893,2
福建,2018,5120,南昌航空大学,22,电子封装技术,理科,本二批,484,484,484,36893,1
福建,2018,5120,南昌航空大学,23,电子信息科学与技术,理科,本二批,488,488,488,35333,1
福建,2018,5120,南昌航空大学,24,自动化,理科,本二批,488,489,490,35333,2
福建,2018,5120,南昌航空大学,25,计算机科学与技术,理科,本二批,489,489,489,34925,2
福建,2018,5120,南昌航空大学,26,软件工程(招考方向:测控技术),理科,本二批,489,489,489,34925,1
福建,2018,5120,南昌航空大学,27,软件工程(招考方向:飞行器控制技术),理科,本二批,488,488,488,35333,1
福建,2018,5120,南昌航空大学,28,软件工程(招考方向(嵌入式系统开发),理科,本二批,486,486,486,36124,1
福建,2018,5120,南昌航空大学,29,软件工程(招考方向:软件设计与开发),理科,本二批,491,491,491,34156,1
福建,2018,5120,南昌航空大学,30,软件工程(招考方向:移动互联),理科,本二批,487,487,487,35713,1
福建,2018,5120,南昌航空大学,31,网络工程,理科,本二批,487,487,487,35713,1
福建,2018,5120,南昌航空大学,32,数据科学与大数据技术,理科,本二批,490,490,490,34535,1
福建,2018,5120,南昌航空大学,33,土木工程,理科,本二批,485,487,488,36522,2
福建,2018,5120,南昌航空大学,34,给排水科学与工程,理科,本二批,483,484,485,37291,2
福建,2018,5120,南昌航空大学,35,飞行器动力工程,理科,本二批,486,488,489,36124,5
福建,2018,5120,南昌航空大学,36,环境工程,理科,本二批,484,486,487,36893,2
福建,2018,5120,南昌航空大学,37,生物医学工程(招考方向:医疗电子),理科,本二批,487,487,487,35713,1
福建,2018,5120,南昌航空大学,38,信息管理与信息系统,理科,本二批,486,486,486,36124,1
福建,2018,5120,南昌航空大学,39,工程管理,理科,本二批,484,485,485,36893,2
福建,2018,5120,南昌航空大学,40,工业工程,理科,本二批,484,484,484,36893,1
福建,2018,5120,南昌航空大学,01,经济学(金融租赁),文科,本二批,546,547,547,8220,2
福建,2018,5120,南昌航空大学,02,英语(科技英语),文科,本二批,547,547,547,8066,1
福建,2018,5120,南昌航空大学,03,英语(外贸英语),文科,本二批,547,547,547,8066,1
福建,2018,5120,南昌航空大学,04,德语,文科,本二批,547,547,547,8066,1
福建,2018,5120,南昌航空大学,05,法语,文科,本二批,550,550,550,7565,1
福建,2018,5120,南昌航空大学,06,工商管理(民航管理),文科,本二批,548,548,548,7895,1
福建,2018,5120,南昌航空大学,07,市场营销,文科,本二批,545,545,545,8374,1
福建,2018,5120,南昌航空大学,08,会计学,文科,本二批,545,546,546,8374,2
福建,2018,5120,南昌航空大学,09,电子商务,文科,本二批,547,547,547,8066,1
福建,2018,5144,青岛理工大学,01,经济学,理科,本一批,532,532,532,20091,1
福建,2018,5144,青岛理工大学,02,统计学,理科,本一批,531,531,531,20401,1
福建,2018,5144,青岛理工大学,03,机械设计制造及其自动化,理科,本一批,528,533,540,21324,3
福建,2018,5144,青岛理工大学,04,材料成型及控制工程,理科,本一批,524,526,527,22606,2
福建,2018,5144,青岛理工大学,05,车辆工程,理科,本一批,524,524,524,22606,2
福建,2018,5144,青岛理工大学,06,汽车服务工程,理科,本一批,524,524,524,22606,1
福建,2018,5144,青岛理工大学,07,测控技术与仪器,理科,本一批,524,526,528,22606,2
福建,2018,5144,青岛理工大学,08,材料科学与工程,理科,本一批,523,523,523,22928,2
福建,2018,5144,青岛理工大学,09,能源与动力工程,理科,本一批,524,525,525,22606,2
福建,2018,5144,青岛理工大学,10,电气工程及其自动化,理科,本一批,531,531,531,20401,1
福建,2018,5144,青岛理工大学,11,电子信息工程,理科,本一批,530,530,530,20718,1
福建,2018,5144,青岛理工大学,12,通信工程,理科,本一批,527,527,527,21643,1
福建,2018,5144,青岛理工大学,13,自动化,理科,本一批,527,527,527,21643,1
福建,2018,5144,青岛理工大学,14,计算机科学与技术,理科,本一批,527,527,527,21643,1
福建,2018,5144,青岛理工大学,15,软件工程,理科,本一批,535,535,535,19227,1
福建,2018,5144,青岛理工大学,16,网络工程,理科,本一批,529,529,529,21014,1
福建,2018,5144,青岛理工大学,17,土木工程,理科,本一批,532,532,533,20091,3
福建,2018,5144,青岛理工大学,18,建筑环境与能源应用工程,理科,本一批,523,524,526,22928,3
福建,2018,5144,青岛理工大学,19,给排水科学与工程,理科,本一批,526,528,530,21926,3
福建,2018,5144,青岛理工大学,20,建筑电气与智能化,理科,本一批,545,545,545,16297,1
福建,2018,5144,青岛理工大学,21,城市地下空间工程,理科,本一批,523,523,523,22928,1
福建,2018,5144,青岛理工大学,23,交通运输,理科,本一批,523,523,523,22928,1
福建,2018,5144,青岛理工大学,24,交通工程,理科,本一批,525,525,525,22231,1
福建,2018,5144,青岛理工大学,25,环境工程,理科,本一批,524,524,524,22606,1
福建,2018,5144,青岛理工大学,26,环境科学,理科,本一批,523,523,523,22928,1
福建,2018,5144,青岛理工大学,27,建筑学,理科,本一批,542,542,542,17186,2
福建,2018,5144,青岛理工大学,28,城乡规划,理科,本一批,532,533,534,20091,2
福建,2018,5144,青岛理工大学,29,风景园林,理科,本一批,541,541,541,17467,1
福建,2018,5144,青岛理工大学,30,建筑类(中外合作办学)(含:建筑学),理科,本一批,528,528,528,21324,1
福建,2018,5144,青岛理工大学,31,安全工程,理科,本一批,533,533,533,19809,1
福建,2018,5144,青岛理工大学,32,信息管理与信息系统,理科,本一批,527,527,527,21643,1
福建,2018,5144,青岛理工大学,33,工程管理,理科,本一批,528,528,528,21324,1
福建,2018,5144,青岛理工大学,34,房地产开发与管理,理科,本一批,522,525,527,23276,2
福建,2018,5144,青岛理工大学,35,工程造价,理科,本一批,534,534,534,19526,1
福建,2018,5144,青岛理工大学,36,市场营销,理科,本一批,523,524,525,22928,2
福建,2018,5144,青岛理工大学,37,会计学,理科,本一批,525,525,525,22231,1
福建,2018,5144,青岛理工大学,38,财务管理,理科,本一批,531,531,531,20401,1
福建,2018,5144,青岛理工大学,39,国际商务,理科,本一批,531,531,531,20401,1
福建,2018,5144,青岛理工大学,41,物流管理,理科,本一批,531,531,531,20401,1
福建,2018,5144,青岛理工大学,42,工业工程,理科,本一批,524,524,524,22606,1
福建,2018,5144,青岛理工大学,43,电子商务,理科,本一批,537,537,537,18631,1
福建,2018,5062,广西医科大学,01,临床医学,理科,本一批,545,562,579,16297,2
福建,2018,5062,广西医科大学,02,临床医学,理科,本一批,524,533,545,22606,6
福建,2018,5062,广西医科大学,03,医学影像学,理科,本一批,521,523,524,23618,2
福建,2018,5062,广西医科大学,04,儿科学,理科,本一批,518,521,523,24607,2
福建,2018,5062,广西医科大学,05,口腔医学,理科,本一批,533,550,567,19809,2
福建,2018,5062,广西医科大学,06,预防医学,理科,本一批,516,540,564,25259,2
福建,2018,5062,广西医科大学,07,临床药学,理科,本一批,536,539,541,18923,2
福建,2018,5062,广西医科大学,08,运动康复,理科,本二批,474,475,475,40864,2
福建,2018,5062,广西医科大学,09,英语,理科,本二批,468,471,473,43250,2
福建,2018,5062,广西医科大学,10,药学,理科,本二批,476,478,483,40084,4
福建,2018,5062,广西医科大学,11,中药资源与开发,理科,本二批,467,467,467,43640,2
福建,2018,5062,广西医科大学,12,护理学,理科,本二批,469,469,469,42861,2
福建,2018,5062,广西医科大学,13,公共事业管理,理科,本二批,467,472,476,43640,2
福建,2018,5001,安徽财经大学,01,经济学类(包含经济学、国民经济管理),理科,本一批,525,525,526,22231,3
福建,2018,5001,安徽财经大学,02,财政学类(包含财政学、税收学),理科,本一批,534,535,536,19526,2
福建,2018,5001,安徽财经大学,03,金融学类(包含金融工程、投资学、保险学、互联网金融),理科,本一批,529,534,539,21014,5
福建,2018,5001,安徽财经大学,04,金融学,理科,本一批,529,542,553,21014,7
福建,2018,5001,安徽财经大学,05,经济与贸易类(包含贸易经济、国际经济与贸易),理科,本一批,528,530,532,21324,2
福建,2018,5001,安徽财经大学,06,法学,理科,本一批,533,533,533,19809,1
福建,2018,5001,安徽财经大学,07,日语,理科,本一批,524,524,524,22606,2
福建,2018,5001,安徽财经大学,08,商务英语,理科,本一批,523,523,523,22928,1
福建,2018,5001,安徽财经大学,09,新闻传播学类(包含新闻学、广告学、网络与新媒体、传播学专业，分流时也可选择秘书学专业),理科,本一批,525,529,532,22231,2
福建,2018,5001,安徽财经大学,10,数学与应用数学,理科,本一批,523,524,525,22928,2
福建,2018,5001,安徽财经大学,11,统计学类(包含统计学、应用统计学专业),理科,本一批,523,529,536,22928,4
福建,2018,5001,安徽财经大学,12,统计学类(中外合作办学)(包含统计学专业),理科,本一批,509,511,513,27653,2
福建,2018,5001,安徽财经大学,13,计算机类(包含计算机科学与技术、物联网工程专业，分流时也可选择电子信息工程专业),理科,本一批,527,531,534,21643,5
福建,2018,5001,安徽财经大学,14,管理科学与工程类(包含信息管理与信息系统、工程管理、工程造价、房地产开发与管理),理科,本一批,523,525,528,22928,4
福建,2018,5001,安徽财经大学,15,工商管理类(包含工商管理、市场营销、人力资源管理),理科,本一批,530,536,543,20718,4
福建,2018,5001,安徽财经大学,16,会计学,理科,本一批,533,545,564,19809,9
福建,2018,5001,安徽财经大学,17,财务管理,理科,本一批,541,542,542,17467,2
福建,2018,5001,安徽财经大学,18,国际商务,理科,本一批,528,528,528,21324,1
福建,2018,5001,安徽财经大学,19,审计学,理科,本一批,534,539,543,19526,2
福建,2018,5001,安徽财经大学,20,工商管理类(中外合作办学)(包含国际商务专业),理科,本一批,522,524,525,23276,2
